CodO,CodL,Data,Quantità

CodO è progressivo, significa che 0 è fatto in data precedente ad 1 e cosi via.

1,9788865183717,2019/09/17,1
1,9788891902542,2019/09/17,1
1,9788891904577,2019/09/17,1
2,9788891904577,2020/02/11,2
2,9788850334384,2020/02/11,1
3,9788867610310,2020/03/08,1
4,9788820733834,2020/11/01,1
4,9788891635433,2020/11/01,1
4,9788891708441,2020/11/01,2
5,9788838668005,2020/12/27,3
5,9788891635433,2020/12/27,1
5,9788871925523,2020/12/27,1
6,9788871929620,2021/06/23,1
6,97888919058191,2021/06/23,1
